index,timestamp,value,instance
0,2022-02-24 11:42:08,0.132,24ae8d
0,2022-02-24 11:42:08,0.066,c6585a
0,2022-02-24 11:42:08,42.652,ac20cd
0,2022-02-24 11:42:08,51.846,5f5533
0,2022-02-24 11:42:08,2.296,fe7f93
0,2022-02-24 11:42:08,1.732,53ea38
0,2022-02-24 11:42:08,91.958,825cc2
0,2022-02-24 11:42:08,0.068,77c1ca
1,2022-02-24 11:42:13,41.362,ac20cd
1,2022-02-24 11:42:13,0.102,77c1ca
1,2022-02-24 11:42:13,44.508,5f5533
1,2022-02-24 11:42:13,1.732,53ea38
1,2022-02-24 11:42:13,94.798,825cc2
1,2022-02-24 11:42:13,0.134,24ae8d
1,2022-02-24 11:42:13,0.066,c6585a
1,2022-02-24 11:42:13,2.144,fe7f93
2,2022-02-24 11:42:18,41.244,5f5533
2,2022-02-24 11:42:18,0.1,77c1ca
2,2022-02-24 11:42:18,0.068,c6585a
2,2022-02-24 11:42:18,0.134,24ae8d
2,2022-02-24 11:42:18,43.408,ac20cd
2,2022-02-24 11:42:18,2.274,fe7f93
2,2022-02-24 11:42:18,1.96,53ea38
2,2022-02-24 11:42:18,92.208,825cc2
3,2022-02-24 11:42:23,1.732,53ea38
3,2022-02-24 11:42:23,2.066,fe7f93
3,2022-02-24 11:42:23,0.098,77c1ca
3,2022-02-24 11:42:23,48.56800000000001,5f5533
3,2022-02-24 11:42:23,0.134,c6585a
3,2022-02-24 11:42:23,0.134,24ae8d
3,2022-02-24 11:42:23,93.722,825cc2
3,2022-02-24 11:42:23,40.262,ac20cd
4,2022-02-24 11:42:28,46.714,5f5533
4,2022-02-24 11:42:28,0.134,24ae8d
4,2022-02-24 11:42:28,1.706,53ea38
4,2022-02-24 11:42:28,0.102,77c1ca
4,2022-02-24 11:42:28,0.066,c6585a
4,2022-02-24 11:42:28,2.35,fe7f93
4,2022-02-24 11:42:28,93.042,825cc2
4,2022-02-24 11:42:28,40.328,ac20cd
5,2022-02-24 11:42:33,0.134,24ae8d
5,2022-02-24 11:42:33,1.734,53ea38
5,2022-02-24 11:42:33,0.2,77c1ca
5,2022-02-24 11:42:33,92.958,825cc2
5,2022-02-24 11:42:33,2.136,fe7f93
5,2022-02-24 11:42:33,0.066,c6585a
5,2022-02-24 11:42:33,42.652,ac20cd
5,2022-02-24 11:42:33,44.986,5f5533
6,2022-02-24 11:42:38,49.108,5f5533
6,2022-02-24 11:42:38,2.366,fe7f93
6,2022-02-24 11:42:38,95.708,825cc2
6,2022-02-24 11:42:38,0.134,c6585a
6,2022-02-24 11:42:38,0.1,77c1ca
6,2022-02-24 11:42:38,0.134,24ae8d
6,2022-02-24 11:42:38,39.836,ac20cd
6,2022-02-24 11:42:38,1.766,53ea38
7,2022-02-24 11:42:43,0.066,c6585a
7,2022-02-24 11:42:43,42.57,ac20cd
7,2022-02-24 11:42:43,95.25,825cc2
7,2022-02-24 11:42:43,40.47,5f5533
7,2022-02-24 11:42:43,1.766,53ea38
7,2022-02-24 11:42:43,29.138,77c1ca
7,2022-02-24 11:42:43,2.252,fe7f93
7,2022-02-24 11:42:43,0.134,24ae8d
8,2022-02-24 11:42:48,2.026,53ea38
8,2022-02-24 11:42:48,92.358,77c1ca
8,2022-02-24 11:42:48,45.212,ac20cd
8,2022-02-24 11:42:48,53.404,5f5533
8,2022-02-24 11:42:48,2.4,fe7f93
8,2022-02-24 11:42:48,0.068,c6585a
8,2022-02-24 11:42:48,94.458,825cc2
8,2022-02-24 11:42:48,0.066,24ae8d
9,2022-02-24 11:42:53,2.18,fe7f93
9,2022-02-24 11:42:53,0.132,24ae8d
9,2022-02-24 11:42:53,0.066,c6585a
9,2022-02-24 11:42:53,41.15,ac20cd
9,2022-02-24 11:42:53,1.7619999999999998,53ea38
9,2022-02-24 11:42:53,92.75,825cc2
9,2022-02-24 11:42:53,45.4,5f5533
9,2022-02-24 11:42:53,89.306,77c1ca
10,2022-02-24 11:42:58,0.066,c6585a
10,2022-02-24 11:42:58,2.352,fe7f93
10,2022-02-24 11:42:58,42.91,ac20cd
10,2022-02-24 11:42:58,89.81,77c1ca
10,2022-02-24 11:42:58,43.216,5f5533
10,2022-02-24 11:42:58,1.704,53ea38
10,2022-02-24 11:42:58,94.208,825cc2
10,2022-02-24 11:42:58,0.134,24ae8d
11,2022-02-24 11:43:03,0.134,c6585a
11,2022-02-24 11:43:03,43.756,ac20cd
11,2022-02-24 11:43:03,20.24,77c1ca
11,2022-02-24 11:43:03,49.72,5f5533
11,2022-02-24 11:43:03,92.75,825cc2
11,2022-02-24 11:43:03,1.834,53ea38
11,2022-02-24 11:43:03,3.434,fe7f93
11,2022-02-24 11:43:03,0.066,24ae8d
12,2022-02-24 11:43:08,0.132,24ae8d
12,2022-02-24 11:43:08,0.1,77c1ca
12,2022-02-24 11:43:08,2.43,fe7f93
12,2022-02-24 11:43:08,46.37,5f5533
12,2022-02-24 11:43:08,1.832,53ea38
12,2022-02-24 11:43:08,38.522,ac20cd
12,2022-02-24 11:43:08,0.066,c6585a
12,2022-02-24 11:43:08,94.376,825cc2
13,2022-02-24 11:43:13,0.102,77c1ca
13,2022-02-24 11:43:13,0.2019999999999999,24ae8d
13,2022-02-24 11:43:13,0.068,c6585a
13,2022-02-24 11:43:13,1.826,53ea38
13,2022-02-24 11:43:13,42.488,ac20cd
13,2022-02-24 11:43:13,43.756,5f5533
13,2022-02-24 11:43:13,92.792,825cc2
13,2022-02-24 11:43:13,2.0340000000000003,fe7f93
14,2022-02-24 11:43:18,91.666,825cc2
14,2022-02-24 11:43:18,41.268,ac20cd
14,2022-02-24 11:43:18,2.296,fe7f93
14,2022-02-24 11:43:18,0.068,24ae8d
14,2022-02-24 11:43:18,0.102,77c1ca
14,2022-02-24 11:43:18,47.582,5f5533
14,2022-02-24 11:43:18,0.066,c6585a
14,2022-02-24 11:43:18,1.908,53ea38
15,2022-02-24 11:43:23,2.052,fe7f93
15,2022-02-24 11:43:23,42.136,ac20cd
15,2022-02-24 11:43:23,0.134,24ae8d
15,2022-02-24 11:43:23,0.066,77c1ca
15,2022-02-24 11:43:23,1.798,53ea38
15,2022-02-24 11:43:23,40.738,5f5533
